,unchanged_IndexMedian,unchanged_SdLog,even_IndexMedian,even_SdLog,odd_IndexMedian,odd_SdLog,drop_half_IndexMedian,drop_half_SdLog,1st_pass_IndexMedian,1st_pass_SdLog,2nd_pass_IndexMedian,2nd_pass_SdLog
,47447524.28,0.139791232,NA,NA,46557773.23,0.139382395,50349146.12,0.27567121,52277784.98,0.226816577,44469586.15,0.192815287
,54205478.84,0.13684758,55079810.36,0.164037799,NA,NA,56721993.65,0.260099362,43756431.55,0.30583145,60459761.32,0.167102351
,40049506.61,0.12471386,NA,NA,39303761.89,0.121612843,40058158.32,0.263454915,36750487.51,0.27076105,42469805.26,0.167404575
,24009817.06,0.135032118,24579264.35,0.161858748,NA,NA,25915660.43,0.291358485,25976316.74,0.208312598,22716876.81,0.329096202
,20567986.7,0.133202697,NA,NA,20288749.67,0.128890033,18314963.87,0.283341498,19837128.24,0.218927816,22968319.53,0.189648286
,18389792.4,0.13361126,18718668.42,0.153094107,NA,NA,16255549.73,0.269575906,13158449.89,0.229404441,25680258.07,0.186374559
,22141193.33,0.136017186,NA,NA,21672353.17,0.138953032,23696891.95,0.288087138,22209737.83,0.26585624,22544992.36,0.206639677
,20827801.11,0.124847342,21274752.39,0.150102455,NA,NA,17357504.35,0.263987017,16808481.12,0.205297667,26252846.75,0.180739203
,25079785.58,0.130819812,NA,NA,24535113.25,0.130539485,25020610.01,0.275250668,21562326.18,0.206351329,29633710.99,0.206803459
,26726228.14,0.133167055,27024282.45,0.161539704,NA,NA,28246858.84,0.346937248,25918805.89,0.203096984,27397913.61,0.187375422
,,,,,,,,,,,,
,,,,,,,,,,,,
SS input,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2003,1,4,47447524.28,0.139791232,,,,,,,,
2004,1,4,54205478.84,0.13684758,,,,,,,,
2005,1,4,40049506.61,0.12471386,,,,,,,,
2006,1,4,24009817.06,0.135032118,,,,,,,,
2007,1,4,20567986.7,0.133202697,,,,,,,,
2008,1,4,18389792.4,0.13361126,,,,,,,,
2009,1,4,22141193.33,0.136017186,,,,,,,,
2010,1,4,20827801.11,0.124847342,,,,,,,,
2011,1,4,25079785.58,0.130819812,,,,,,,,
2012,1,4,26726228.14,0.133167055,,,,,,,,
2004,1,4,55079810.36,0.164037799,,,,,,,,
2006,1,4,24579264.35,0.161858748,,,,,,,,
2008,1,4,18718668.42,0.153094107,,,,,,,,
2010,1,4,21274752.39,0.150102455,,,,,,,,
2012,1,4,27024282.45,0.161539704,,,,,,,,
2003,1,4,46557773.23,0.139382395,,,,,,,,
2005,1,4,39303761.89,0.121612843,,,,,,,,
2007,1,4,20288749.67,0.128890033,,,,,,,,
2009,1,4,21672353.17,0.138953032,,,,,,,,
2011,1,4,24535113.25,0.130539485,,,,,,,,
2003,1,4,50349146.12,0.27567121,,,,,,,,
2004,1,4,56721993.65,0.260099362,,,,,,,,
2005,1,4,40058158.32,0.263454915,,,,,,,,
2006,1,4,25915660.43,0.291358485,,,,,,,,
2007,1,4,18314963.87,0.283341498,,,,,,,,
2008,1,4,16255549.73,0.269575906,,,,,,,,
2009,1,4,23696891.95,0.288087138,,,,,,,,
2010,1,4,17357504.35,0.263987017,,,,,,,,
2011,1,4,25020610.01,0.275250668,,,,,,,,
2012,1,4,28246858.84,0.346937248,,,,,,,,
2003,1,4,52277784.98,0.226816577,,,,,,,,
2004,1,4,43756431.55,0.30583145,,,,,,,,
2005,1,4,36750487.51,0.27076105,,,,,,,,
2006,1,4,25976316.74,0.208312598,,,,,,,,
2007,1,4,19837128.24,0.218927816,,,,,,,,
2008,1,4,13158449.89,0.229404441,,,,,,,,
2009,1,4,22209737.83,0.26585624,,,,,,,,
2010,1,4,16808481.12,0.205297667,,,,,,,,
2011,1,4,21562326.18,0.206351329,,,,,,,,
2012,1,4,25918805.89,0.203096984,,,,,,,,
2003,1,4,44469586.15,0.192815287,,,,,,,,
2004,1,4,60459761.32,0.167102351,,,,,,,,
2005,1,4,42469805.26,0.167404575,,,,,,,,
2006,1,4,22716876.81,0.329096202,,,,,,,,
2007,1,4,22968319.53,0.189648286,,,,,,,,
2008,1,4,25680258.07,0.186374559,,,,,,,,
2009,1,4,22544992.36,0.206639677,,,,,,,,
2010,1,4,26252846.75,0.180739203,,,,,,,,
2011,1,4,29633710.99,0.206803459,,,,,,,,
2012,1,4,27397913.61,0.187375422,,,,,,,,
